NAME,MSINI,A,PER,ECC,OM,MASS,RSTAR,DEPTH,BMV,V,VURL,VREF,J,H,KS
,mjupiter,au,day,,deg,mjupiter,rsun,,,,,,,,
Kepler-292 b,0,0.0368224,2.580827,,90,0,0.826,,,,,,14.537,14.08,13.97
Kepler-228 d,0,0.0973508,11.094286,,90,0,1.014,,,,,,14.528,14.11,14.13
Kepler-140 b,0,0.0429776,3.25427,,90,0,1.288,,,,,,11.989,11.759,11.709
Kepler-245 d,0,0.214468,36.277108,,90,0,0.795,,,,,,14.121,13.69,13.64
HD 173416 b,2.71808,1.16272,323.6,0.21,254,2.71808,14.3919,,1.035,6.057,,,4.58,3.929,3.814
Kepler-104 c,0,0.161331,23.668205,,90,0,1.349,,,,,,11.558,11.251,11.209
Kepler-263 b,0,0.127191,16.568087,,90,0,0.785,,,,,,13.99,13.53,13.55
Kepler-278 c,0,0.269422,51.078775,,90,0,2.935,,,,,,10.047,9.581,9.465
HD 76700 b,0.232142,0.0511051,3.97097,0.095,30,0.232142,1.2353,,0.745,8.16,,,6.91,6.613,6.5
Kepler-366 b,0,0.043221,3.281959,,90,0,1.048,,,,,,13.708,13.385,13.35
HD 39091 b,10.088,3.34651,2151,0.6405,330.24,10.088,1.14999,,0.6,5.65,,,4.868,4.424,4.24
HD 7449 b,1.3131,2.33982,1275,0.82,339,1.3131,0.952526,,0.575,7.5,,,6.425,6.179,6.084
HD 149026 b,0.359837,0.0431325,2.8758911,0,90,0.361471,1.368,0.00293331,0.611,8.16,,,7.118,6.899,6.819
Kepler-186 b,0,0.0378277,3.8867907,0.04,270,0,0.472,,,,,,12.473,11.82,11.605
Kepler-219 c,0,0.156968,22.714613,,90,0,1.491,,,,,,12.678,12.4,12.389
OGLE-2006-BLG-109L c,0.243573,4.52773,4927.5,0.15,,0.271,,,,,,,,,
Kepler-361 c,0,0.283685,55.188023,,90,0,1.343,,,,,,12.526,12.275,12.198
Kepler-265 e,0,0.325506,67.831024,,90,0,1.103,,,,,,14.252,13.94,13.9
Qatar-2 b,2.483,0.0215077,1.3371182,0,90,2.48409,0.713,0.02725,0.7,13.3,,,11.35,10.794,10.619
Kepler-293 b,0,0.140591,19.254196,,90,0,0.957,,,,,,14.098,13.781,13.66
Kepler-166 b,0,0.0759843,7.650254,,90,0,0.742,,,,,,13.346,12.941,12.88
HD 216437 b,2.16817,2.48556,1353,0.319,67.7,2.16817,1.36865,,0.66,6.04,,,5.043,4.923,4.517
HAT-P-49 b,1.72579,0.0437742,2.691548,0,90,1.72959,1.833,0.00627264,0.41,10.21,,,9.55,9.399,9.346
Kepler-367 c,0,0.278143,53.578637,,90,0,0.695,,,,,,11.243,10.752,10.674
Kepler-313 b,0,0.118876,14.970418,,90,0,1.536,,,,,,12.868,12.551,12.52
Kepler-150 c,0,0.0741975,7.381998,,90,0,0.939,,,,,,13.817,13.422,13.37
Kepler-87 b,1.0213,0.477022,114.73635,0.036,238.6,1.02138,1.82,0.0046991,,,,,13.389,13.033,12.981
HAT-P-7 b,1.77867,0.037964,2.204737,0,90,1.7916,1.981,0.00602021,0.44,10.46,,,9.555,9.344,9.334
Kepler-316 c,0,0.0704356,6.827766,,90,0,0.52,,,,,,13.324,12.681,12.542
PSR B1257+12 C,0.0089751,0.416595,98.2114,0.0252,108.3,0.0122719,,,,,,,,,
HD 49674 b,0.101571,0.0571073,4.94737,0.087,264,0.101571,0.889525,,0.729,8.1,,,6.835,6.523,6.432
HD 82943 b,1.58935,1.1851,442.4,0.203,107,1.68512,1.09738,,0.623,6.54,,,5.509,5.245,5.105
Kepler-342 c,0,0.17279,26.234138,,90,0,1.472,,,,,,12.22,11.999,11.957
WASP-38 b,2.70891,0.0758454,6.87188,0.028,337.8,2.70901,1.35,0.0069,0.476,9.477,,,8.287,8.106,7.998
Kepler-139 c,0,0.569736,157.072878,,90,0,1.3,,,,,,11.53,11.222,11.167
HD 77338 b,0.0498139,0.0612143,5.7361,0.09,223.454,0.0498139,0.88,,0.88,8.59,,,7.218,6.905,6.761
Kepler-29 c,0,0.109809,13.2907,0,90,0,0.96,0.000784,,,,,14.13,13.67,13.66
HD 220773 b,1.44975,4.94302,3724.7,0.51,259,1.44975,1.35144,,0.66,7.06,,,6.001,5.712,5.651
WASP-6 b,0.521174,0.0428704,3.361006,0.054,97.4028,0.52136,0.87,0.02092,0.99,11.91,,,10.769,10.445,10.325
Kepler-206 c,0,0.108963,13.137471,,90,0,1.185,,,,,,12.33,12.048,12.001
Kepler-169 c,0,0.066017,6.195469,,90,0,0.763,,,,,,12.729,12.283,12.186
HD 159868 c,0.73,1.02595,352.3,0.15,290,0.73,1.84825,,0.72,7.24,,,5.94,5.567,5.535
HD 137388 b,0.227816,0.88883,330,0.36,86,0.227816,0.97784,,0.891,8.71,,,7.23,6.867,6.763
HD 95086 b,,,,,,4.5,,,,7.36,,,6.906,6.867,6.789
Kepler-196 b,0,0.147733,20.739886,,90,0,0.782,,,,,,12.752,12.3,12.235
Kepler-352 b,0,0.0911742,10.05537,,90,0,0.781,,,,,,11.61,11.18,11.132
Kepler-329 b,0,0.0744278,7.416397,,90,0,0.523,,,,,,13.51,12.85,12.693
Kepler-179 b,0,0.0382833,2.735926,,90,0,0.759,,,,,,13.278,12.87,12.75
Kepler-176 b,0,0.0604835,5.433074,,90,0,0.891,,,,,,13.097,12.686,12.567
Kepler-310 c,0,0.28808,56.47542,,90,0,0.876,,,,,,13.056,12.69,12.626
Kepler-339 b,0,0.0570545,4.977656,,90,0,0.802,,,,,,13.28,12.895,12.87
Kepler-124 d,0,0.192925,30.950851,,90,0,0.636,,,,,,12.78,12.314,12.233
Kepler-52 c,0,0.10281,16.3850021,,,0,0.52,,,,,,13.153,12.51,12.36
HD 100777 b,1.16502,1.03378,383.70001,0.36,202.7,1.16502,1.07881,,0.76,8.42,,,7.152,6.804,6.735
HAT-P-5 b,1.05391,0.0407152,2.788491,0,90,1.05561,1.165,0.0122324,0.97,12,,,10.844,10.522,10.481
Kepler-125 b,0,0.0506571,4.164389,,90,0,0.512,,,,,,12.484,11.869,11.682
Kepler-193 b,0,0.0990643,11.38848,,90,0,1.147,,,,,,13.539,13.242,13.22
HD 222582 b,7.63003,1.33658,572.38,0.725,319.01,7.63003,1.13737,,0.648,7.68,,,6.522,6.243,6.173
Kepler-119 c,0,0.050338,4.125103,,90,0,0.839,,,,,,12.997,12.636,12.58
Kepler-16 b,0.333,0.646795,228.776,0.0069,318,0.333,0.6489,,,,,,9.815,9.14,8.996
Kepler-32 d,0,0.128069,22.7802,0,90,0,0.53,0.002181,,,,,13.616,12.901,12.757
Kepler-58 c,0,0.119982,15.5741568,,,0,1.03,,,,,,13.643,13.382,13.28
WASP-33 b,0,0.0255483,1.21986983,0,90,0,1.444,0.0113636,0.09,8.3,,,7.581,7.516,7.468
HD 128311 b,1.4572,1.08649,454.2,0.345,63,1.4572,0.58322,,0.973,7.48,,,5.772,5.302,5.142
MOA-2011-BLG-293L b,,,,,,27.1766,,,,,,,,,
HD 181433 d,0.535482,3.02208,2172,0.48,330,0.535482,1.00831,,1.01,8.38,,,6.664,6.243,6.094
TrES-1 b,0.752484,0.0392516,3.030065,0,90,0.752484,0.807,0.0184362,0.78,11.76,,,,,
HD 4208 b,0.807457,1.65355,828,0.052,345,0.807457,0.876501,,0.664,7.78,,,6.57,6.243,6.163
Kepler-62 e,0,0.426299,122.3874,0.13,292.62,0,0.64,0.0007,0.599999,13.8,,,12.256,11.739,11.659
Kepler-120 b,0,0.0668458,6.312501,,90,0,0.534,,,,,,13.019,12.418,12.307
HD 5388 b,1.96509,1.76349,777,0.4,324,1.96509,1.29538,,0.5,6.8394,,,5.795,5.524,5.441
CoRoT-10 b,2.75448,0.105463,13.2406,0.53,218.9,2.75536,0.79,0.0161036,1.46,15.216,,,12.527,11.929,11.782
11 UMi b,11.0873,1.53498,516.22,0.08,117.63,11.0873,44.65,,1.391,5.024,,,2.876,2.091,1.939
Kepler-286 d,0,0.0640044,5.914323,,90,0,0.863,,,,,,14.39,14.06,14.12
Kepler-338 c,0,0.164238,24.310856,,90,0,1.735,,,,,,11.1,10.84,10.756
WASP-62 b,0.562022,0.0567187,4.411953,0,90,0.56227,1.28,0.0123,0.52,10.21,,,9.272,9.008,8.944
Kepler-300 c,0,0.23162,40.714955,,90,0,0.9,,,,,,13.113,12.803,12.742
HD 4732 c,2.36493,4.60219,2732,0.23,118,2.36493,5.55146,,0.945,5.901,,,4.338,3.717,3.691
Kepler-258 c,0,0.203997,33.653079,,90,0,0.915,,,,,,13.556,13.086,12.956
kappa CrB b,1.9747,2.71619,1300,0.125,83.1,1.9747,5.06,,0.996,4.79,,,3.035,2.575,2.423
Kepler-25 b,,0.0702822,6.2385,0,90,0.0223552,1.31,0.000359103,0.549999,10.77,,,9.764,9.532,9.493
HD 99492 b,0.106179,0.121908,17.0431,0.254,219,0.106179,0.630794,,1.002,7.58,,,5.852,5.402,5.256
Kepler-167 c,0,0.0743589,7.406097,,90,0,0.696,,,,,,12.446,11.974,11.832
Kepler-291 b,0,0.0455136,3.546511,,90,0,1.016,,,,,,14.69,14.34,14.15
HD 204941 b,0.26689,2.55427,1733,0.37,228,0.26689,0.850124,,0.878,8.45,http://adsabs.harvard.edu/abs/2011A%26A...535A..55D,Dumusque 2011,6.895,6.475,6.357
Kepler-332 d,0,0.206247,34.21154,,90,0,0.72,,,,,,12.558,12.073,11.974
HD 196050 b,2.8434,2.51056,1378,0.228,187,2.8434,1.31321,,0.667,7.5,,,6.378,6.118,6.033
WASP-11 b,0.539752,0.0436466,3.722465,0,90,0.539755,0.74,0.0162,1,11.89,,,10.015,9.56,9.421
HD 111232 b,6.84182,1.97489,1143,0.2,98,6.84182,0.874998,,0.701,7.59,,,6.328,5.974,5.897
HD 117618 b,0.176652,0.174852,25.827,0.42,254,0.176652,1.16537,,0.603,7.17,,,6.097,5.842,5.737
Kepler-192 c,0,0.15002,21.2234,,90,0,1.007,,,,,,12.892,12.512,12.427
HD 180902 b,1.56395,1.38103,479,0.09,300,1.56395,3.85021,,0.94,7.78,,,6.121,5.67,5.543
HIP 12961 b,0.354314,0.25497,57.435,0.166,272,0.354314,,,1.389,10.31,,,7.558,6.927,6.736
HD 63454 b,0.384566,0.0362523,2.818049,0,87.3,0.384566,1.15809,,1.006,9.37,,,7.596,7.18,6.998
BD +48 738 b,1.2654,1.11234,392.6,0.2,358.9,1.2654,11.7902,,1.246,9.14,http://adsabs.harvard.edu/abs/2012ApJ...745...28G,Gettel 2012,6.704,6.077,5.904
Kepler-62 c,0,0.0928559,12.4417,0.186815,254.476,0,0.64,0.00007,0.599999,13.8,,,12.256,11.739,11.659
Kepler-371 c,0,0.325944,67.968015,,90,0,0.992,,,,,,12.701,12.356,12.344
NGC 2423 3 b,6.63106,1.6555,714.3,0.21,18,6.63106,21.2079,,1.21,10.04,,,7.94,7.37,7.151
Kepler-227 b,0,0.0877115,9.488015,,90,0,1.091,,,,,,14.082,13.75,13.65
Kepler-33 c,0,0.118876,13.17562,0,90,0,1.82,0.00025664,0.65,13.74,,,12.871,12.62,12.591
Kepler-275 b,0,0.0926511,10.300682,,90,0,1.383,,,,,,14.28,14.03,13.96
HD 13908 b,0.865,0.153755,19.382,0.046,185,0.865,1.67,,0.53,7.51,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M,Moutou 2013,6.497,6.251,6.21
HD 50499 b,1.74473,3.87172,2457.8717,0.253675,258.799,1.74473,1.18426,,0.614,7.21,,,6.152,5.884,5.836
CoRoT-14 b,7.56823,0.0269122,1.51214,0,90,7.69464,1.21,0.00855625,0.858,16.033,,,14.32,14.01,13.81
Kepler-176 d,0,0.170666,25.751974,,90,0,0.891,,,,,,13.097,12.686,12.567
Kepler-319 d,0,0.196363,31.781925,,90,0,0.903,,,,,,12.631,12.315,12.208
Kepler-80 d,0,0.0413591,3.072186,,90,0,0.637,,,,,,12.954,12.354,12.253
Kepler-155 b,0,0.0641261,5.931194,,90,0,0.62,,,,,,12.53,11.89,11.8
Kepler-342 d,0,0.226833,39.459357,,90,0,1.472,,,,,,12.22,11.999,11.957
CoRoT-4 b,0.717419,0.0903166,9.20205,0,90,0.717419,1.17,0.0109621,,,,,12.619,12.359,12.29
HAT-P-19 b,0.292129,0.0466409,4.008778,0.067,256,0.292273,0.82,0.0201072,,12.901,,,11.095,10.644,10.546
HD 154857 c,2.57917,5.35635,3452,0.06,352,2.57917,1.86203,,0.65,7.24,,,5.937,5.588,5.509
Kepler-24 c,0,0.105496,12.3318,0,90,0,1.07,0.000625,,,,,13.763,13.45,13.37
Kepler-47 c,0,0.895669,303.158,0,,0,0.964,,,,,,13.97,13.64,13.54
GJ 163 b,0.033876,0.0606753,8.631,0.11,97,0.033876,,,1.491,11.811,http://adsabs.harvard.edu/abs/2013A%26A...556A.110B,Bonfils 2013,7.948,7.428,7.135
Kepler-133 c,0,0.195273,31.517586,,90,0,1.425,,,,,,11.68,11.399,11.32
Kepler-33 f,0,0.253499,41.02902,0,90,0,1.82,0.000495953,0.65,13.74,,,12.871,12.62,12.591
Kepler-116 b,0,0.0643964,5.968734,,90,0,1.454,,,,,,12.703,12.486,12.383
Kepler-107 c,0,0.0564705,4.901425,,90,0,1.411,,,,,,11.392,11.114,11.06
Kepler-84 e,0,0.178021,27.434389,,90,0,1.169,,,,,,13.583,13.234,13.193
Kepler-109 b,,0.0689299,6.48163,0,,0.0182069,1.32,0.00027,-0.110001,12.93,,,11.314,11.046,11.001
Kepler-315 b,0,0.410606,96.101141,,90,0,1.037,,,,,,13.982,13.622,13.58
KIC 11442793 f,0,0.519687,124.9144,,,0,1.2,0.000484,,,,,12.79,12.531,12.482
HD 2039 b,5.92499,2.19755,1120,0.715,344.1,5.92499,1.1465,,0.656,9,,,7.912,7.652,7.549
Kepler-170 b,0,0.0778294,7.930592,,90,0,1.035,,,,,,13.143,12.773,12.677
Kepler-36 c,0.0254888,0.128401,16.23855,0,90,0.025489,1.626,0.000432224,0.72,11.94,,,11.124,10.85,10.788
Kepler-247 d,0,0.146486,20.477912,,90,0,0.768,,,,,,13.597,13.178,13.051
Kepler-136 b,0,0.100165,11.5789,,90,0,1.355,,,,,,10.804,10.573,10.519
XO-2 b,0.566435,0.0368367,2.615838,0,90,0.56654,0.971,0.0108056,0.82,11.18,,,9.744,9.34,9.308
Kepler-305 d,0,0.128062,16.738661,,90,0,0.794,,,,,,14.25,13.74,13.7
Kepler-120 c,0,0.107059,12.794585,,90,0,0.534,,,,,,13.019,12.418,12.307
Kepler-393 b,0,0.0858179,9.182417,,90,0,1.382,,,,,,12.325,12.087,11.995
Kepler-96 b,0.0261659,0.125499,16.2385,0,90,0.0261659,1.02,0.00057442,0.68,10.57,,,9.26,8.928,8.868
Kepler-11 d,0.0191935,0.154764,22.6845,0.0036055,146.31,0.0229683,1.065,0.000885,,,,,12.548,12.237,12.18
HD 187085 b,0.803694,2.02754,986,0.47,94,0.803694,1.31178,,0.574,7.22,,,6.19,5.95,5.876
HD 118203 b,2.13623,0.0702997,6.1335,0.309,155.7,2.13623,2.14975,,0.699,8.05,,,6.86,6.607,6.543
Kepler-106 b,,0.0657994,6.16486,0,,0.00144019,1.04,0.0000526786,0.700001,12.98,,,11.752,11.494,11.431
WASP-63 b,0.377818,0.0574592,4.37808,0,90,0.378096,1.88,0.00609,0.59,11.15,,,9.818,9.463,9.393
Kepler-30 b,0,0.185524,29.334,0.042,329,0.035557,0.95,0.00165,,,,,14,13.62,13.58
Kepler-214 c,0,0.183794,28.7798,,90,0,1.352,,,,,,12.941,12.678,12.607
HD 175167 b,7.77836,2.40085,1290,0.54,342,7.77836,,,0.751,8.01,,,6.713,6.381,6.288
Kepler-273 b,0,0.0401325,2.936532,,90,0,0.815,,,,,,13.682,13.35,13.217
Kepler-323 c,0,0.0455761,3.553822,,90,0,1.178,,,,,,11.689,11.423,11.354
Kepler-84 d,0,0.0511438,4.224537,,90,0,1.169,,,,,,13.583,13.234,13.193
Kepler-267 c,0,0.0707769,6.87745,,90,0,0.555,,,,,,13.334,12.68,12.485
HAT-P-16 b,4.1951,0.0413275,2.77596,0.036,214,4.2025,1.237,0.0114704,0.47,10.812,,,9.85,9.623,9.596
TrES-4 b,0.913019,0.0509243,3.553945,0,90,0.925,1.816,0.00984262,0.52,11.592,,,10.583,10.259,10.339
Kepler-231 c,0,0.140675,19.271566,,90,0,0.49,,,,,,13.405,12.775,12.589
NGC 4349 127 b,9.88561,1.68103,677.8,0.19,61,9.88561,42.3715,,1.46,10.83,,,,,
Kepler-184 b,0,0.0949568,10.687576,,90,0,0.873,,,,,,13.1,12.752,12.69
GJ 676 A b,4.89701,1.81539,1056.8,0.326,85.7,4.89701,,,1.435,9.585,,,6.711,6.082,5.825
Kepler-60 b,0,0.0750769,7.1316185,,,0,1.5,,,,,,12.804,12.569,12.516
Kepler-151 b,0,0.120241,15.228958,,90,0,0.83,,,,,,13.383,12.998,12.86
Kepler-242 c,0,0.116354,14.496481,,90,0,0.85,,,,,,13.821,13.316,13.24
Kepler-230 b,0,0.199823,32.625555,,90,0,0.817,,,,,,13.824,13.37,13.3
HD 47186 c,0.348285,2.38704,1353.6,0.249,26,0.348285,1.13117,,0.71,7.6,,,6.416,6.099,6.004
Kepler-351 c,0,0.290701,57.24809,,90,0,0.854,,,,,,14.669,14.205,14.097
Kepler-350 b,0,0.0979073,11.189562,,90,0,1.534,,,,,,12.718,12.45,12.393
Kepler-382 b,0,0.0592083,5.262155,,90,0,0.945,,,,,,13.403,12.953,12.89
HIP 14810 d,0.5806,1.88623,950.69651,0.165251,296.832,0.5806,1.31998,,0.777,8.52,,,7.201,6.964,6.828
Kepler-209 b,0,0.124721,16.087845,,90,0,0.935,,,,,,12.797,12.432,12.362
Kepler-123 c,0,0.174808,26.695074,,90,0,1.264,,,,,,12.982,12.725,12.655
HD 142245 b,1.89038,2.77628,1299,0,234,1.89038,4.51552,,1.04,7.63,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,5.689,5.232,5.11
Kepler-59 c,0,0.136086,17.9801235,,,0,0.94,,,,,,13.253,12.974,12.928
KIC 11442793 b,0,0.0761616,7.008151,,,0,1.2,0.0001,,,,,12.79,12.531,12.482
Kepler-258 b,0,0.109294,13.19722,,90,0,0.915,,,,,,13.556,13.086,12.956
Kepler-309 c,0,0.436563,105.356383,,90,0,0.721,,,,,,13.504,12.931,12.852
Kepler-302 c,0,0.495205,127.282184,,90,0,1.22,,,,,,14.259,13.91,13.9
HD 30177 b,9.68782,3.80821,2770,0.193,34,9.68782,1.21235,,0.773,8.41,,,7.15,6.829,6.715
Kepler-4 b,0.0772272,0.0455763,3.21346,0,90,0.0772279,1.487,0.00061,,,,,11.122,10.84,10.805
HD 190647 b,1.90296,2.07238,1038.1,0.18,232.5,1.90296,1.42287,,0.743,7.78,,,6.546,6.251,6.16
HD 97658 b,0.024749,0.0796373,9.4909,0.064,351,0.024739,0.703,0.000849,0.843,7.7,http://adsabs.harvard.edu/abs/2013arXiv1305.7260D,Dragomir 2013,6.203,5.821,5.734
Kepler-261 b,0,0.0931334,10.381227,,90,0,0.794,,,,,,12.127,11.672,11.585
Kepler-57 b,0,0.0588891,5.7293196,,,0,0.73,,,,,,13.437,13.022,12.897
Kepler-175 b,0,0.102029,11.903515,,90,0,1.01,,,,,,13.773,13.487,13.5
Kepler-323 b,0,0.0276391,1.678327,,90,0,1.178,,,,,,11.689,11.423,11.354
Kepler-377 c,0,0.176201,27.014976,,90,0,1.224,,,,,,12.801,12.474,12.469
HD 106270 b,11.0869,4.37827,2890,0.402,15.4,11.0869,2.66147,,0.74,7.73,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,6.249,5.964,5.862
Kepler-379 c,0,0.309155,62.784697,,90,0,1.306,,,,,,12.341,12.092,12.005
HD 30856 b,1.85721,2.04004,912,0.117,180,1.85721,5.5698,,0.961,8.0719,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,6.255,5.798,5.657
Kepler-315 c,0,0.808381,265.469335,,90,0,1.037,,,,,,13.982,13.622,13.58
Kepler-80 c,0,0.0788018,9.522,,,0.022,0.65,,,,,,12.954,12.354,12.253
Kepler-179 c,0,0.067463,6.40013,,90,0,0.759,,,,,,13.278,12.87,12.75
HD 48265 b,1.20645,1.59435,762,0.24,289,1.20645,,,0.747,8.05,,,6.841,6.528,6.448
CoRoT-27 b,10.371,0.0466557,3.57532,0,90,10.3882,1.08,0.009801,0.962,15.54,,,13.571,13.17,12.985
Kepler-360 c,0,0.0728812,7.186434,,90,0,1.058,,,,,,13.642,13.299,13.23
Kepler-262 b,0,0.108539,13.060855,,90,0,0.881,,,,,,13.118,12.759,12.732
Kepler-381 b,0,0.0619291,5.629021,,90,0,1.568,,,,,,9.721,9.547,9.504
Kepler-168 c,0,0.109272,13.193242,,90,0,1.107,,,,,,13.49,13.26,13.21
Kepler-84 f,0,0.245953,44.552169,,90,0,1.169,,,,,,13.583,13.234,13.193
HD 89307 b,1.79148,3.26609,2166,0.2,4.9,1.79148,1.15051,,0.594,7.02,,,5.891,5.644,5.564
HD 163607 c,2.2924,2.41789,1314,0.12,265,2.2924,1.69594,,0.78,8.15,,,6.648,6.342,6.271
WASP-49 b,0.376728,0.0378972,2.7817387,0,90,0.378231,0.976,0.01376,0.58,11.35,,,,,
Kepler-288 b,0,0.065318,6.097326,,90,0,1.091,,,,,,14,13.662,13.587
Kepler-37 c,0.0107883,0.139784,21.301886,0.0984886,66.038,0.0107897,0.77,0.0000811,0.68,9.77,,,8.356,8,7.942
Kepler-55 b,0,0.153688,27.9481449,,,0,0.58,,,,,,13.97,13.36,13.29
HD 4313 b,2.17173,1.13327,356,0.041,85.59,2.17173,4.11574,,0.96,7.83,,,6.159,5.774,5.595
HR 8799 b,0,67.4293,164253,0,,7,1.44,,0.257,5.953,,,5.383,5.28,5.24
HD 2638 b,0.477325,0.0435743,3.4442,0,0,0.477325,1.1428,,0.886,9.44,,,7.858,7.417,7.308
Kepler-272 b,0,0.0404491,2.971353,,90,0,0.929,,,,,,13.159,12.83,12.708
Kepler-231 b,0,0.0912341,10.065275,,90,0,0.49,,,,,,13.405,12.775,12.589
HD 168443 b,7.69745,0.29385,58.11247,0.52883,172.923,7.69745,1.58859,,0.724,6.92,,,5.641,5.325,5.211
Kepler-373 b,0,0.0612399,5.535309,,90,0,0.845,,,,,,13.28,12.9,12.86
Kepler-288 d,0,0.288618,56.633742,,90,0,1.091,,,,,,14,13.662,13.587
HD 10180 f,0.0743252,0.49279,122.72,0.133,265,0.0743252,1.10851,,0.629,7.33,,,6.246,5.934,5.868
HD 45350 b,1.83614,1.94413,963.6,0.778,343.4,1.83614,1.18013,,0.74,7.89,,,6.587,6.279,6.224
HD 69830 c,0.0367709,0.185072,31.559999,0.13,221,0.0367709,0.921634,,0.79,5.95,,,4.953,4.363,4.165
Kepler-21 b,0,0.0427173,2.785755,0,90,0,1.86,0.0000649636,0.517,8.25,,,7.23,7.031,6.945
Kepler-352 c,0,0.125984,16.332995,,90,0,0.781,,,,,,11.61,11.18,11.132
Kepler-363 b,0,0.046094,3.614568,,90,0,1.485,,,,,,12.111,11.755,11.697
Kepler-390 b,0,0.0698175,6.738088,,90,0,0.776,,,,,,12.584,12.194,12.075
Kepler-340 b,0,0.118208,14.844387,,90,0,1.85,,,,,,11.725,11.629,11.583
Kepler-335 c,0,0.325549,67.844469,,90,0,1.854,,,,,,12.848,12.574,12.496
HD 47186 b,0.071203,0.0498411,4.0845,0.038,59,0.071203,1.13117,,0.71,7.6,,,6.416,6.099,6.004
Kepler-226 b,0,0.0488289,3.940997,,90,0,0.802,,,,,,14.114,13.72,13.63
KELT-3 b,1.454,0.0412729,2.70339,0,90,1.46164,1.482,0.00888,0.48,9.82,http://adsabs.harvard.edu/abs/2013ApJ...773...64P,Pepper 2013,8.963,8.728,8.662
Kepler-51 c,0,0.379271,85.3128662,,,0,0.91,,,,,,13.562,13.219,13.2
HD 148427 b,1.14357,1.03886,331.5,0.16,277,1.14357,3.92268,,0.93,6.89,,,5.299,4.875,4.682
Kepler-226 c,0,0.0598621,5.349555,,90,0,0.802,,,,,,14.114,13.72,13.63
epsilon Tau b,7.67663,1.93647,594.90002,0.151,94.4,7.67663,12.752,,1.014,3.53,,,1.747,1.314,1.421
Kepler-11 e,0.0264262,0.19466,31.9996,0.012,90,0.0264312,1.1,0.00132715,,,,,12.548,12.237,12.18
Kepler-366 c,0,0.1055,12.51616,,90,0,1.048,,,,,,13.708,13.385,13.35
HD 208487 b,0.5122,0.520765,130.08,0.24,113,0.5122,1.20627,,0.568,7.47,,,6.477,6.213,6.158
Kepler-288 c,0,0.140842,19.305772,,90,0,1.091,,,,,,14,13.662,13.587
Kepler-48 d,,0.229818,42.8961,0,,0.0151,0.89,0.0004419,,,,,11.702,11.292,11.221
Kepler-311 b,0,0.0857785,9.176092,,90,0,1.188,,,,,,12.751,12.47,12.418
Kepler-117 c,0,0.268407,50.790412,,90,0,1.471,,,,,,13.324,12.99,13.01
epsilon Eri b,1.05448,3.37558,2500,0.25,6,1.05448,0.74,,0.881,3.72,,,2.228,1.879,1.776
Kepler-69 c,0,0.709354,242.4613,0.14,,0,0.93,0.00035,,14,http://adsabs.harvard.edu/abs/2012PASP..124..316E,Everett 2012,12.631,12.284,12.234
Kepler-296 f,0,0.310961,63.335879,,90,0,0.557,,,,,,13.391,12.81,12.6
HD 20782 b,1.9,1.36607,591.9,0.97,147.7,1.9,1.12933,,0.63,7.36,,,6.229,5.956,5.826
Kepler-228 c,0,0.050414,4.134444,,90,0,1.014,,,,,,14.528,14.11,14.13
HD 190360 c,0.0589738,0.129216,17.111027,0.23747,5.18038,0.0589738,1.07528,,0.749,5.73,,,4.554,4.238,4.075
Kepler-23 c,0,0.0986522,10.7421,0,90,0,1.52,0.000324,,,,,12.353,12.047,11.998
Kepler-378 b,0,0.124744,16.092361,,90,0,0.671,,,,,,10.846,10.317,10.201
HD 65216 b,1.21636,1.37427,613.09998,0.41,198,1.21636,0.88536,,0.672,7.97,,,6.762,6.419,6.328
Kepler-343 c,0,0.159296,23.22182,,90,0,1.433,,,,,,13.039,12.722,12.683
Kepler-42 b,0,0.0112809,1.2137672,,,0,0.17,0.00175561,1.836,16.124,,,12.177,11.685,11.465
Kepler-212 b,0,0.125596,16.257582,,90,0,1.455,,,,,,11.931,11.699,11.62
Kepler-296 c,0,0.063479,5.841648,,90,0,0.557,,,,,,13.391,12.81,12.6
Kepler-356 b,0,0.0542304,4.612696,,90,0,1.335,,,,,,12,11.745,11.704
HAT-P-13 b,0.8514,0.0426946,2.91625,0.0133,210,0.85708,1.56,0.007123,0.73,10.622,,,9.328,9.058,8.975
Kepler-244 b,0,0.0518456,4.311792,,90,0,0.803,,,,,,14.306,13.85,13.73
GJ 3634 b,0.0221881,0.0286881,2.64561,0.08,84,0.0221881,0.43,,2.45,11.95,,,8.361,7.76,7.47
Kepler-9 b,0.248865,0.140548,19.243158,0.150841,18.5551,0.248945,1.1,0.00621732,,13.9,,,12.71,12.391,12.337
HD 130322 b,1.04309,0.0896052,10.7085,0.011,145,1.04309,0.986573,,0.781,8.04,,,6.712,6.315,6.234
Kepler-31 d,0,0.386163,87.648901,,90,0,1.306,,,,,,14.233,13.984,13.87
Kepler-399 d,0,0.293358,58.034616,,90,0,0.68,,,,,,13.175,12.779,12.698
Kepler-215 c,0,0.117265,14.667108,,90,0,1.027,,,,,,12.417,12.065,11.996
Kepler-108 b,0,0.262717,49.183921,,90,0,2.192,,,,,,11.43,11.065,10.983
Kepler-348 c,0,0.130735,17.265427,,90,0,1.359,,,,,,11.708,11.454,11.377
