NAME,MSINI,A,PER,ECC,OM,MASS,RSTAR,DEPTH,BMV,V,VURL,VREF,J,H,KS
,mjupiter,au,day,,deg,mjupiter,rsun,,,,,,,,
epsilon Ret b,1.37669,1.19471,428.1,0.06,216,1.37669,3.51559,,1.078,4.44,,,2.374,1.814,1.745
GJ 674 b,0.034879,0.0386657,4.6938,0.2,143,0.034879,,,1.53,9.36,,,5.711,5.153,4.855
Kepler-57 c,0,0.0942979,11.6092567,,,0,0.73,,,,,,13.437,13.022,12.897
HD 168443 c,17.3857,2.85281,1749.83,0.2113,64.87,17.3857,1.58859,,0.724,6.92,,,5.641,5.325,5.211
Kepler-172 c,0,0.0673847,6.388996,,90,0,1.085,,,,,,13.17,12.88,12.79
Kepler-400 c,0,0.131115,17.340824,,90,0,1.145,,,,,,12.566,12.289,12.296
Kepler-220 e,0,0.250899,45.902733,,90,0,0.666,,,,,,11.206,10.672,10.55
WASP-57 b,0.675475,0.0386362,2.838971,0,90,0.675887,0.836,0.01269,0.56,13.04,,,11.625,11.292,11.244
HAT-P-37 b,1.1719,0.0379273,2.79736,0.058,164,1.17362,0.877,0.0189888,-0.129999,13.23,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,12.092,11.714,11.667
Kepler-198 c,0,0.264081,49.567416,,90,0,0.94,,,,,,12.421,12.067,12.027
Kepler-249 b,0,0.0434366,3.306539,,90,0,0.482,,,,,,12.836,12.15,11.966
HD 81040 b,6.87654,1.9372,1001.7,0.526,81.3,6.87654,0.918818,,0.68,7.72,,,6.504,6.267,6.158
HD 208527 b,10.014,2.099,875.5,0.08,278,10.014,41.0489,,1.698,6.4842,,,3.328,2.537,2.224
Kepler-165 b,0,0.0794582,8.180848,,90,0,0.77,,,,,,13.43,12.926,12.843
Kepler-28 b,0,0.0581375,5.91213,0,90,0,0.7,0.0008804,,,,,13.334,12.767,12.719
Kepler-118 c,0,0.145024,20.17202,,90,0,1.094,,,,,,13.25,12.769,12.711
HAT-P-32 b,0.861357,0.0342627,2.150008,0,0,0.861516,1.219,0.0227406,0.35,11.44,,,10.251,10.024,9.99
GJ 163 c,0.0215524,0.125354,25.63058,0.099,3.962,0.0215524,,,1.491,11.811,,,7.948,7.428,7.135
HD 95089 b,1.12925,1.38575,507,0.157,317,1.12925,4.34001,,0.94,7.92,,,6.24,5.775,5.626
XO-3 b,13.0547,0.0477112,3.1915426,0.2884,346.3,13.2849,2.07898,0.00894327,0.4,9.91,,,9.013,8.845,8.791
HD 114729 b,0.944758,2.10235,1114,0.167,93,0.944758,1.46377,,0.591,6.68,,,5.559,5.29,5.136
Kepler-122 e,0,0.221179,37.993273,,90,0,1.216,,,,,,13.173,12.887,12.826
Kepler-103 c,,0.64119,179.612,0,,0.0877632,1.44,0.001074,0.8,11.88,,,11.193,10.941,10.873
HD 100655 b,1.33352,0.682908,157.57,0.085,132,1.33352,9.3,,1.01,6.45,http://adsabs.harvard.edu/abs/2012PASJ...64...34O,Omiya 2012,5.039,4.47,4.129
Kepler-400 b,0,0.0848304,9.024389,,90,0,1.145,,,,,,12.566,12.289,12.296
Kepler-106 c,,0.111348,13.5708,0,,0.019662,1.04,0.000489,0.700001,12.98,,,11.752,11.494,11.431
Kepler-113 b,,0.0502736,4.754,0,,0.013404,0.69,0.00058516,,,,,11.886,11.36,11.255
HD 142415 b,1.66194,1.06061,386.29999,0.5,255,1.66194,1.11902,,0.621,7.33,,,6.235,5.99,5.892
CoRoT-9 b,0.843564,0.406991,95.2738,0.11,37,0.843564,0.94,0.013225,0.86,13.69,,,12.175,11.813,11.688
HD 114386 b,1.3637,1.72685,937.70001,0.23,273,1.3637,0.637212,,0.982,8.73,,,6.968,6.497,6.351
HD 103197 b,0.0982431,0.249018,47.84,0,0,0.0982431,1.01561,,0.86,9.4,,,7.916,7.6,7.426
7 CMa b,2.43233,1.80264,763,0.14,12,2.43233,2.3,,1.061,3.95,,,2.173,1.679,1.564
Kepler-368 b,0,0.175473,26.84768,,90,0,2.019,,,,,,11.6,11.229,11.175
Kepler-335 b,0,0.0685981,6.562331,,90,0,1.854,,,,,,12.848,12.574,12.496
WASP-16 b,0.839364,0.0417858,3.1186009,0,90,0.842294,0.946,0.01199,1.22,11.3,,,9.984,9.659,9.589
Kepler-316 b,0,0.0335097,2.240508,,90,0,0.52,,,,,,13.324,12.681,12.542
HD 152581 b,1.51375,1.48938,689,0,321,1.51375,3.809,,0.9,8.54,http://adsabs.harvard.edu/abs/2011ApJS..197...26J,Johnson 2011,6.673,6.244,6.173
KIC 11442793 h,0,0.996347,331.60059,,,0,1.2,0.0075,,,,,12.79,12.531,12.482
Kepler-103 b,0.030444,0.127704,15.9654,0,,0.0305195,1.44,0.00046225,,,,,11.193,10.941,10.873
Kepler-338 b,0,0.112199,13.726976,,90,0,1.735,,,,,,11.1,10.84,10.756
Kepler-129 b,0,0.123186,15.79186,,90,0,1.641,,,,,,10.6,10.325,10.252
